stateFlagCode,state,HouseholdsThatOwnDogs_2016,AvgNumberOfDogsInHouseholdsOwningDogs_2016,HouseholdsThatOwnCats_2016,AvgNumberOfCatsInHouseholdsOwningCats_2016
,Idaho,58.3,1.7,33.3,2
,Montana,51.9,2.1,22.8,1.8
,Arkansas,51.6,1.8,34.8,2.1
,Mississippi,51,2.1,29.1,2
,West Virginia,49.6,1.7,37.7,2.1
,Indiana,49.4,1.6,37.5,1.9
,Oklahoma,47.7,1.8,28.4,1.8
,Colorado,47.2,1.6,27.1,1.6
,Nebraska,47.1,1.8,30.9,2.3
,Tennessee,47,1.7,30.9,2.2
,Alabama,46.9,1.9,26.1,1.7
,Kentucky,46.5,1.9,32.2,1.8
,South Carolina,45.3,1.6,25.2,1.6
,Missouri,45.1,1.6,28.6,1.9
,North Dakota,44.3,1.5,24.8,2.8
,Texas,43.4,1.7,20.5,2
,Kansas,43.1,1.6,32.4,2.1
,Arizona,43,1.8,26.4,2
,Washington,42.8,1.5,30.5,1.8
,Delaware,42.2,1.8,24.1,1.8
,Michigan,41.9,1.6,31.2,1.7
,North Carolina,41.3,1.6,26.5,1.8
,California,40.1,1.6,22.9,1.7
,Florida,39.8,1.5,24.2,1.8
,New Mexico,39.4,2,25.2,1.8
,Pennsylvania,38.9,1.4,28.9,2.1
,Louisiana,38.3,1.6,19,1.7
,Ohio,37.9,1.7,30.7,1.9
,Oregon,37.8,1.6,30,1.6
,Nevada,36.8,1.6,23.1,1.7
,Georgia,36.7,1.8,20.4,2.1
,Iowa,36.3,1.8,35.6,2
,Utah,36.2,1.6,24.7,1.9
,Wyoming,36,1.7,30,1.8
,Maine,35.9,1.5,43.6,1.9
,Virginia,35.6,1.7,23.9,1.9
,Minnesota,35.5,1.4,26.5,1.9
,Wisconsin,33.6,1.4,32.4,1.9
,South Dakota,32.1,1.3,26.6,1.4
,Illinois,31,1.4,21,1.7
,Maryland,30.2,1.4,18.6,1.7
,New Jersey,29.1,1.3,18.9,1.6
,Massachusetts,28.9,1.4,23.5,1.6
,Vermont,28.3,1.3,44.6,1.3
,New York,27,1.4,21.1,1.7
,Rhode Island,25.8,1.4,16.7,2
,Connecticut,24,1.4,26.7,1.9
,New Hampshire,23.7,1.4,36.4,1.5
